epoch,blocks,active_stake,active_size,delegators_count,rewards,fees,pool_id
283,1,983572645361,4.2254859229468864e-05,4,724020101,389922613,pool1w43rswva2e4hulr6ayxv4aaaf0fzvxjj5c8kv55xmm2auey5xvz
283,0,9825875,4.2212536805450715e-10,2,0,0,pool1yfxhjwwlzr5da82h77jy83nkuryh970ey6zypd89fy6qyuxfppe
283,0,9823411,4.220195131655648e-10,2,0,0,pool1wsr9ehtfvc4cs3rzfv65jjv7w7pe3xngw58mtt0ex4jck5frw79
283,13,9800209123199,0.0004210227468944513,190,9436287812,567407195,pool1pk7cjkcdsawxf25dwml0ely8vhjx7wp7nqans3jwatanceyqae0
283,0,9783214226,4.2029263611702167e-07,3,0,0,pool17gaxq64v2gtl8s8z9hhtkyqv9786fts4lmpsde3r69662jg9mh8
283,0,97624734,4.1940159803552714e-09,1,0,0,pool1uda4kkzqn52fuyrwuchjxykdly8vj46yv3rc2h4zp9raunz4sgl
283,0,97624556,4.1940083333705996e-09,1,0,0,pool1wamhqzxcn7psr3rrqvg35wwjwmj8qktnvgyncj2vzyaqx9hkmsz
283,0,97623898,4.1939800653036665e-09,1,0,0,pool1hg9yyezrm6dslw9q767n5tlu0qk2ccvd4k9946vv7ymgvsvnttf
283,0,97621434,4.193874210414724e-09,1,0,0,pool1c5lxn8j87vhvc5rgtgytzzy9ujfyslh55lccr5r25ceyjxfdxav
283,0,97620466,4.193832624565497e-09,1,0,0,pool1svzk9ckds6r83nvg2k7w9hszza2haqd9zu7fuyg37e8gg3dylrf
283,0,975685093584,4.1916005366895286e-05,29,0,0,pool1g2htk67ngtrw5mz6npgu3tugmcuqfgu0lxm8m26d7x79w75xupn
283,0,97510309,4.189100215068248e-09,5,0,0,pool1xt0z35f0ms6xt5r8swhtd2xcymqxvk42m8fk5q8fnw8hjhr6yax
283,11,9745684699547,0.0004186803455915586,2895,7922767644,415827676,pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4
283,0,97236752,4.1773480454844815e-09,1,0,0,pool1tkqjk8s3yqqyuspn4c44rjz7vgsu6kfxm4uvt89cejwryetpt6m
283,0,971009383017,4.171513409140977e-05,14,0,0,pool19vpp0udh6qtu5dv9dwssamqsttx7z7n9ml2wed67j0pdkck9vnj
283,1,968366980041,4.160161490570954e-05,102,722155735,343821557,pool1pmyave37l324x5phh0s7tdy30kx9mdzmqnj829teccun2je37xw
283,0,968115315238,4.159080323778248e-05,58,0,0,pool1drrfl4ef8uwaqsyjpssdp8epsflnwdjdku0gx7ycc6qnsqfqv32
283,0,9665378771,4.152303556776974e-07,3,0,0,pool1v8cx78z8fqu4438vcmg20qlp4qujks8mrrlrcer6aa4f6eg9u2k
283,0,96634341,4.151468114679838e-09,1,0,0,pool1k0d5szkmzsw6035ytsm8dv75d4ewu5gkm7c7dhsjug9uvkaunz3
283,5,9661555912461,0.0004150661234268499,4,3620087366,3620087366,pool13jf2uxjk7c2cl6nfllvnrdd6sv4eeq9zvwx23u3wrf97kvufj7x
283,0,96564760,4.148478874003094e-09,1,0,0,pool1wp337rv2ehtvjr8mvhlrhr63z4y42ckyu5zwqqvlhj4q532wdqc
283,8,9647384086520,0.00041445729345075634,20,5793450145,394534501,pool1ue4ngerz28nkpstsr5p53qvl5ulq3jtmllj4my0d0n28yyrn4l4
